"","first_name","last_name","team","position","floor","ceiling","points_vor","adp","rank"
"736","Darren","Andrews","NEP","WR",0,0,-146.274315372224,NA,649
"737","Cody","Hollister","NEP","WR",0,0,-146.274315372224,150.99,649
"738","River","Cracraft","FA","WR",0,0,-146.274315372224,150.99,649
"739","Byron","Pringle","KCC","WR",0,0,-146.274315372224,151,649
"740","Byron","Pringle","KCC","WR",0,0,-146.274315372224,151,649
"741","C.J.","Board","FA","WR",0,0,-146.274315372224,151,649
"742","Jordan","Veasy","FA","WR",0,0,-146.274315372224,NA,649
"743","Damoun","Patterson","FA","WR",0,0,-146.274315372224,150.96,649
"744","Vyncint","Smith","HOU","WR",0,0,-146.274315372224,NA,649
"745","Cam","Sims","WAS","WR",0,0,-146.274315372224,NA,649
"746","J.J.","Jones","LAC","WR",0,0,-146.274315372224,150.97,649
"747","Brandon","Powell","DET","WR",0,0,-146.274315372224,150.99,649
"748","Devin","Smith","FA","WR",-0.004,-0.004,-146.278315372224,150.98,650
"749","Devin","Smith","FA","WR",-0.004,-0.004,-146.278315372224,150.98,650
"750","Devin","Smith","FA","WR",-0.004,-0.004,-146.278315372224,150.98,650
"751","DeAndre","Carter","PHI","WR",-0.0285,-0.0015,-146.284315372224,150.99,651
"752","DeAndre","Carter","PHI","WR",-0.0285,-0.0015,-146.284315372224,150.99,651
"753","Rashad","Greene","JAC","WR",-0.18,0,-146.294315372224,150.98,652
"754","Rashad","Greene","JAC","WR",-0.18,0,-146.294315372224,150.98,652
"755","Darius","Jennings","TEN","WR",-0.342,-0.018,-146.424315372224,150.98,653
"756","Darius","Jennings","TEN","WR",-0.342,-0.018,-146.424315372224,150.98,653
"757","John","Diarse","FA","WR",-1.32,-1.32,-147.594315372224,151,654
"758","Terrelle","Pryor","NYJ","WR",158.12,158.12,-162.910666666667,248.33,655
"759","E.J.","Manuel","FA","QB",13.6046,223.4234,-202.816666666667,150.97,656
"760","Josh","Allen","BUF","QB",10.6199,212.61733,-207.650666666667,266.745,657
"761","Josh","Rosen","ARI","QB",33.1689,149.5752,-225.965266666667,271.66,658
"762","Nathan","Peterman","BUF","QB",19.09487,243.64886,-231.201166666667,150.96,659
"763","Ryan","Fitzpatrick","TBB","QB",36.585,213.833,-247.980666666667,150.9,660
"764","Baker","Mayfield","CLE","QB",15.8616,117.828,-248.645666666667,205.613333333333,661
"765","Mark","Sanchez","FA","QB",54.68,54.68,-266.350666666667,NA,662
"766","Nick","Foles","PHI","QB",22.1076,117.05,-270.328666666667,251.76,663
"767","Josh","McCown","NYJ","QB",0.936,141.563,-274.706066666667,150.86,664
"768","Lamar","Jackson","BAL","QB",22.726,77.93,-284.710323809524,257.375,665
"769","Jacoby","Brissett","IND","QB",4.5168,63.8348,-297.924666666667,150.93,666
"770","Blaine","Gabbert","TEN","QB",2.81088,114.212,-303.804666666667,150.95,667
"771","Brock","Osweiler","MIA","QB",1.2596,68.8904,-307.500666666667,150.93,668
"772","Brock","Osweiler","MIA","QB",1.2596,68.8904,-307.500666666667,150.93,668
"773","Mike","Glennon","ARI","QB",2.4784,16.68208,-308.108466666667,150.96,669
"774","Brandon","Weeden","HOU","QB",1.1408,194.565,-308.891466666667,150.98,670
"775","Mason","Rudolph","PIT","QB",1.4184,23.024,-308.953666666667,150.87,671
"776","Tom","Savage","FA","QB",2.9568,20.4672,-309.618666666667,150.94,672
"777","DeShone","Kizer","GBP","QB",1.7464,52.0744,-309.730666666667,150.91,673
"778","David","Fales","MIA","QB",0.0992,13.66472,-311.858516666667,NA,675
"779","Paxton","Lynch","FA","QB",8.726,8.726,-312.304666666667,150.94,676
"780","Matt","Barkley","CIN","QB",0.29,12.89,-312.580666666667,150.96,677
"781","Brett","Hundley","SEA","QB",2.0544,37.63264,-312.608416666667,150.94,678
"782","Robert","Griffin III","BAL","QB",1.1445,242.4175,-312.650666666667,150.89,679
"783","Chase","Daniel","CHI","QB",0.10595,22.49378,-313.176566666667,150.97,680
"784","Teddy","Bridgewater","NOS","QB",0.1861,41.38,-313.186966666667,150.82,681
"785","Joshua","Dobbs","PIT","QB",4.17654,8.5129,-313.347266666667,150.96,682
"786","Kevin","Hogan","DEN","QB",0.5416,14.05339,-313.421766666667,NA,683
"787","Colt","McCoy","WAS","QB",1.347,13.95495,-313.684616666667,150.95,684
"788","Drew","Stanton","CLE","QB",0.301600000000001,14.2264,-313.766666666667,150.99,685
"789","A.J.","McCarron","OAK","QB",0.4396,171.26622,-313.999166666667,150.87,686
"790","Brian","Hoyer","NEP","QB",0.766,13.67209,-314.135766666667,150.94,687
"791","Trevor","Siemian","MIN","QB",1.3618,38.85607,-314.361166666667,150.9,688
"792","C.J.","Beathard","SFO","QB",1.675,33.72445,-314.375166666667,150.97,689
"793","Kyle","Lauletta","NYG","QB",0.797,8.3171,-315.205466666667,150.98,690
"794","Chad","Henne","KCC","QB",0.31685,45.913,-315.240666666667,150.99,691
"795","Jeff","Driskel","CIN","QB",0.0856,11.1872,-315.612666666667,NA,692
"796","Taysom","Hill","NOS","QB",5.016,5.016,-316.014666666667,150.97,693
"797","Cooper","Rush","DAL","QB",0.7704,11.97588,-316.146266666667,NA,694
"798","Matt","Schaub","ATL","QB",0.2028,172.83858,-316.256666666667,NA,695
"799","Sean","Mannion","LAR","QB",-1.8762,8.214,-316.674166666667,NA,696
"800","Geno","Smith","LAC","QB",0.0179999999999999,97.9433599999999,-317.179916666667,150.97,697
"801","Cody","Kessler","JAC","QB",-0.0671499999999999,9.15641,-317.225966666667,150.97,698
"802","Luke","Falk","MIA","QB",3.552,3.552,-317.478666666667,150.99,699
"803","Matt","Cassel","DET","QB",-0.9382,21.8741,-317.566516666667,150.97,700
"804","Landry","Jones","FA","QB",3.368,3.368,-317.662666666667,150.97,701
"805","Chad","Kelly","DEN","QB",1.281,5.9415,-317.820666666667,150.93,702
"806","Joe","Webb","HOU","QB",0.0045,5.24983,-318.937066666667,150.97,703
"807","Taylor","Heinicke","CAR","QB",0.15,6.6536,-318.982666666667,NA,704
"808","Austin","Davis","SEA","QB",0.2368,3.0592,-319.382666666667,150.98,705
"809","Ryan","Griffin","TBB","QB",0.0261,1.3885,-320.059666666667,150.97,706
"810","Ryan","Griffin","HOU","TE",0.756,0.756,-320.274666666667,259.265,707
"811","Nate","Sudfeld","PHI","QB",0.0328,2.86276,-320.400166666667,NA,708
"812","Matt","McGloin","KCC","QB",0.199,0.199,-320.831666666667,NA,709
"813","Tanner","Lee","FA","QB",0.08,0.08,-320.950666666667,150.99,710
"814","Brandon","Allen","LAR","QB",0,0,-321.030666666667,NA,711
"815","Brad","Kaaya","IND","QB",0,0,-321.030666666667,NA,711
"816","Kyle","Sloter","MIN","QB",0,0,-321.030666666667,150.99,711
"817","Tim","Boyle","GBP","QB",0,0,-321.030666666667,150.98,711
"818","Tyler","Bray","FA","QB",-0.04,-0.04,-321.070666666667,NA,712
"819","Mike","White","DAL","QB",-0.1178,-0.00620000000000001,-321.154666666667,150.99,713
"820","Jake","Rudock","FA","QB",-0.544,-0.544,-321.574666666667,NA,714
"821","Brandon","Wilson","CIN","S",0,0,NA,150.99,NA
